操作时间,操作类型,操作内容,关联对象,操作状态,备注
2025-11-11 15:16:14.564,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_5.pptx
2025-11-11 15:16:14.611,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_5.txt
2025-11-11 15:16:14.653,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_5.xlsx
2025-11-11 15:16:14.653,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:16:18.642,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_6.docx
2025-11-11 15:16:18.694,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_6.pptx
2025-11-11 15:16:18.749,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_6.txt
2025-11-11 15:16:18.805,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_6.xlsx
2025-11-11 15:16:18.808,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:18:58.488,密钥管理,选择特征密钥文件,oliver.feat,成功,路径：C:/Users/12154/Desktop/oliver.feat
2025-11-11 15:24:18.558,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_7.docx
2025-11-11 15:24:18.603,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_7.pptx
2025-11-11 15:24:18.648,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_7.txt
2025-11-11 15:24:18.694,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_7.xlsx
2025-11-11 15:24:18.700,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:42:37.175,人脸管理,录入新人脸,nick,成功,时间戳：1762846957
2025-11-11 15:42:55.467,人脸管理,删除人脸数据,nick,成功,手动删除
2025-11-11 15:44:23.341,人脸管理,录入新人脸,nick,成功,时间戳：1762847063
2025-11-11 15:44:33.659,人脸管理,删除人脸数据,nick,成功,手动删除
2025-11-11 15:54:42.050,日志导出,导出操作日志,时间范围：2025-11-10 00:00:00 至 2025-11-10 12:00:00,成功,日志已导出至：C:/Users/12154/Desktop/日志.csv
2025-11-11 18:31:15.739,人脸管理,删除人脸数据,oliver,成功,手动删除
2025-11-11 18:38:15.083,人脸管理,录入新人脸,oliver,成功,时间戳：1762857495
